nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
Brandon Ingram,0 days 00:35:20,8.0,17.0,47.1,4.0,8.0,50.0,11.0,14.0,78.6,0.0,6.0,6.0,4.0,0.0,1.0,3.0,2.0,31.0,3.0,False,False,brandoningram,60.0
Zion Williamson,0 days 00:32:45,7.0,12.0,58.3,0.0,0.0,0.0,7.0,10.0,70.0,2.0,5.0,7.0,1.0,0.0,1.0,3.0,2.0,21.0,8.0,False,False,zionwilliamson,39.0
Steven Adams,0 days 00:31:24,4.0,7.0,57.1,0.0,0.0,0.0,5.0,8.0,62.5,4.0,6.0,10.0,1.0,2.0,0.0,3.0,2.0,13.0,4.0,False,False,stevenadams,32.0
Eric Bledsoe,0 days 00:31:16,5.0,12.0,41.7,4.0,6.0,66.7,5.0,6.0,83.3,2.0,3.0,5.0,10.0,1.0,1.0,0.0,3.0,19.0,15.0,False,False,ericbledsoe,46.0
Lonzo Ball,0 days 00:35:20,5.0,14.0,35.7,3.0,8.0,37.5,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,2.0,0.0,3.0,13.0,3.0,False,False,lonzoball,27.0
Josh Hart,0 days 00:25:51,3.0,8.0,37.5,2.0,7.0,28.6,1.0,2.0,50.0,1.0,6.0,7.0,2.0,1.0,1.0,2.0,2.0,9.0,-9.0,False,False,joshhart,25.0
JJ Redick,0 days 00:21:14,1.0,4.0,25.0,0.0,3.0,0.0,3.0,3.0,100.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,False,False,jjredick,14.0
Jaxson Hayes,0 days 00:16:36,1.0,3.0,33.3,0.0,0.0,0.0,4.0,4.0,100.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,False,False,jaxsonhayes,18.0
Nickeil Alexander-Walker,0 days 00:06:36,1.0,5.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,-8.0,False,False,nickeilalexanderwalker,7.0
Nicolo Melli,0 days 00:03:38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,nicolomelli,1.0
Willy Hernangomez,,,,,,,,,,,,,,,,,,,,,True,False,willyhernangomez,
Kira Lewis Jr.,,,,,,,,,,,,,,,,,,,,,True,False,kiralewisjr,
Will Magnay,,,,,,,,,,,,,,,,,,,,,True,False,willmagnay,
Naji Marshall,,,,,,,,,,,,,,,,,,,,,True,False,najimarshall,
