nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Tim Hardaway Jr.,F,0 days 00:38:33,18.0,2.0,3.0,2.0,1.0,6.0,18.0,33.3,3.0,10.0,30.0,3.0,4.0,75.0,0.0,2.0,2.0,3.0,17.0,False,False,32.0
Dorian Finney-Smith,F,0 days 00:22:25,12.0,5.0,0.0,0.0,0.0,5.0,8.0,62.5,2.0,5.0,40.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,False,False,24.0
Dwight Powell,C,0 days 00:28:07,2.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,8.0,0.0,4.0,8.0,False,False,17.0
Josh Richardson,G,0 days 00:34:46,11.0,3.0,3.0,0.0,0.0,5.0,10.0,50.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,False,False,20.0
Luka Doncic,G,0 days 00:35:49,27.0,15.0,7.0,0.0,1.0,9.0,22.0,40.9,3.0,10.0,30.0,6.0,9.0,66.7,1.0,14.0,5.0,2.0,12.0,False,False,60.0
Maxi Kleber,,0 days 00:27:32,5.0,4.0,1.0,1.0,1.0,1.0,3.0,33.3,1.0,3.0,33.3,2.0,2.0,100.0,0.0,4.0,1.0,1.0,13.0,False,False,15.0
Trey Burke,,0 days 00:17:19,8.0,3.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,3.0,1.0,3.0,-4.0,False,False,14.0
Willie Cauley Stein,,0 days 00:11:06,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,-1.0,False,False,0.0
Jalen Brunson,,0 days 00:12:11,2.0,3.0,2.0,2.0,0.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,-2.0,False,False,5.0
James Johnson,,0 days 00:12:11,8.0,3.0,1.0,2.0,0.0,3.0,5.0,60.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,-2.0,False,False,15.0
Josh Green,,,,,,,,,,,,,,,,,,,,,,True,False,
Wes Iwundu,,,,,,,,,,,,,,,,,,,,,,True,False,
Boban Marjanovic,,,,,,,,,,,,,,,,,,,,,,True,False,
Tyrell Terry,,,,,,,,,,,,,,,,,,,,,,True,False,
